# Simulated trade record based on backtest signals. No real trades were executed. Starting capital: $10000. Commission: 5 bps (tournament cost parameter). Pair: ism_services_spy. Strategy: P1_long_cash_pro on gap_50 (ism_services_gap_50), threshold T3_zscore_neg_1.0, lead L3, LB120.
trade_date,side,instrument,quantity_pct,price,notional_usd,commission_bps,commission_usd,cum_pnl_pct,reason
2008-04-30,BUY,SPY,100.0,99.2213,10000.0,5,5.0,4.7662,P1_long_cash_pro: gap_50 (ism_services_gap_50) = -5.200 vs threshold 1.524 — position 0% → 100%
2008-07-31,SELL,SPY,0.0,91.4739,10000.0,5,5.0,-2.5384,P1_long_cash_pro: gap_50 (ism_services_gap_50) = 1.900 vs threshold 1.328 — position 100% → 0%
2008-09-30,BUY,SPY,100.0,84.14,10000.0,5,5.0,-11.7167,P1_long_cash_pro: gap_50 (ism_services_gap_50) = -1.900 vs threshold 1.169 — position 0% → 100%
2009-11-30,SELL,SPY,0.0,81.8194,10000.0,5,5.0,-19.1335,P1_long_cash_pro: gap_50 (ism_services_gap_50) = -1.100 vs threshold -1.392 — position 100% → 0%
2019-12-31,BUY,SPY,100.0,294.1374,10000.0,5,5.0,-16.7839,P1_long_cash_pro: gap_50 (ism_services_gap_50) = 3.200 vs threshold 3.383 — position 0% → 100%
2020-01-31,SELL,SPY,0.0,294.0187,10000.0,5,5.0,-16.7839,P1_long_cash_pro: gap_50 (ism_services_gap_50) = 4.800 vs threshold 3.454 — position 100% → 0%
2020-06-30,BUY,SPY,100.0,284.7046,10000.0,5,5.0,-15.3081,P1_long_cash_pro: gap_50 (ism_services_gap_50) = 2.900 vs threshold 3.865 — position 0% → 100%
2020-09-30,SELL,SPY,0.0,310.4373,10000.0,5,5.0,-4.0611,P1_long_cash_pro: gap_50 (ism_services_gap_50) = 7.300 vs threshold 3.124 — position 100% → 0%
2023-03-31,BUY,SPY,100.0,393.9585,10000.0,5,5.0,-0.5039,P1_long_cash_pro: gap_50 (ism_services_gap_50) = -0.970 vs threshold 3.455 — position 0% → 100%
2023-04-30,SELL,SPY,0.0,400.2519,10000.0,5,5.0,-0.5039,P1_long_cash_pro: gap_50 (ism_services_gap_50) = 4.500 vs threshold 3.438 — position 100% → 0%
2023-06-30,BUY,SPY,100.0,428.1555,10000.0,5,5.0,5.9434,P1_long_cash_pro: gap_50 (ism_services_gap_50) = 0.800 vs threshold 3.334 — position 0% → 100%
2023-09-30,SELL,SPY,0.0,414.351,10000.0,5,5.0,7.6331,P1_long_cash_pro: gap_50 (ism_services_gap_50) = 3.800 vs threshold 3.241 — position 100% → 0%
2023-10-31,BUY,SPY,100.0,405.3561,10000.0,5,5.0,5.2966,P1_long_cash_pro: gap_50 (ism_services_gap_50) = 2.750 vs threshold 3.205 — position 0% → 100%
2023-11-30,SELL,SPY,0.0,442.3828,10000.0,5,5.0,5.2966,P1_long_cash_pro: gap_50 (ism_services_gap_50) = 4.000 vs threshold 3.188 — position 100% → 0%
2024-01-31,BUY,SPY,100.0,469.9473,10000.0,5,5.0,6.9736,P1_long_cash_pro: gap_50 (ism_services_gap_50) = 1.800 vs threshold 3.147 — position 0% → 100%
2024-04-30,SELL,SPY,0.0,490.0536,10000.0,5,5.0,16.237,P1_long_cash_pro: gap_50 (ism_services_gap_50) = 3.200 vs threshold 3.055 — position 100% → 0%
2024-05-31,BUY,SPY,100.0,514.8403,10000.0,5,5.0,22.1162,P1_long_cash_pro: gap_50 (ism_services_gap_50) = 2.200 vs threshold 3.034 — position 0% → 100%
2024-08-31,SELL,SPY,0.0,552.0629,10000.0,5,5.0,27.9554,P1_long_cash_pro: gap_50 (ism_services_gap_50) = 3.500 vs threshold 2.838 — position 100% → 0%
2024-09-30,BUY,SPY,100.0,563.6589,10000.0,5,5.0,30.6431,P1_long_cash_pro: gap_50 (ism_services_gap_50) = -0.800 vs threshold 2.715 — position 0% → 100%
2024-12-31,SELL,SPY,0.0,577.6998,10000.0,5,5.0,37.1985,P1_long_cash_pro: gap_50 (ism_services_gap_50) = 4.500 vs threshold 2.541 — position 100% → 0%
2025-06-30,BUY,SPY,100.0,612.6534,10000.0,5,5.0,44.2486,P1_long_cash_pro: gap_50 (ism_services_gap_50) = 0.800 vs threshold 2.284 — position 0% → 100%
